f,p,Pwr,b2mo_ar,b2mo_ne,b2mo_he
70.0,2,166.0,0.316523686627033,0.82080086972354,4.38610419544812
70.0,2,167.0,0.318813088763912,0.822931068169432,4.37112858540444
70.0,2,168.0,0.321096539092681,0.825043211520894,4.35641791290144
70.0,2,169.0,0.323374020352962,0.8271375060384,4.34196563329138
70.0,2,170.0,0.325645516122816,0.82921415498527,4.32776540461136
70.0,2,171.0,0.327911010799062,0.831273358685589,4.31381109150039
70.0,2,172.0,0.330170489583522,0.833315314580496,4.30009673788883
70.0,2,173.0,0.332423938465414,0.835340241335763,4.2866165792081
70.0,2,174.0,0.334671344205411,0.837348281591146,4.2733650256426
70.0,2,175.0,0.336912694320974,0.83933964964776,4.26033665674788
70.0,2,176.0,0.339147977068628,0.841314531945606,4.24752621778704
70.0,2,177.0,0.341377181431257,0.8432731123007,4.23492860986255
70.0,2,178.0,0.343600297101618,0.845215571952871,4.22253888804229
70.0,2,179.0,0.345817314468255,0.847142089612002,4.21035225322211
70.0,2,180.0,0.348028224600864,0.849052841503677,4.19836404711011
70.0,2,181.0,0.350233019236153,0.850948001413087,4.18656974888351
70.0,2,182.0,0.352431690763906,0.852827740727956,4.17496496885475
70.0,2,183.0,0.354624232213216,0.854692228480746,4.16354544351793
70.0,2,184.0,0.356810637239076,0.85654163138949,4.15230703268086
70.0,2,185.0,0.358990900109106,0.858376113897753,4.14124571388801
70.0,2,186.0,0.361165015690533,0.860195838213702,4.13035757873355
70.0,2,187.0,0.363332996048653,0.862000964348089,4.11963882906086
70.0,2,188.0,0.365494802722422,0.863791650151712,4.10908577286556
70.0,2,189.0,0.367650450221965,0.865568051351368,4.09869482160284
70.0,2,190.0,0.369799935685855,0.867330321585763,4.08846248501815
70.0,2,191.0,0.371943256792008,0.869078612440048,4.07838536958031
70.0,2,192.0,0.37408041174228,0.870813073479824,4.06846017434992
70.0,2,193.0,0.376211399254812,0.872533852284409,4.0586836878172
70.0,2,194.0,0.378336218549955,0.874241094479155,4.04905278548276
70.0,2,195.0,0.380454869343633,0.875934943767449,4.03956442666167
70.0,2,196.0,0.382567351828315,0.877615541961667,4.03021565182431
70.0,2,197.0,0.384673666670469,0.879283029013714,4.02100357995563
70.0,2,198.0,0.386773814995985,0.880937543044758,4.01192540612919
70.0,2,199.0,0.388867798380643,0.882579220374491,4.00297839886639
70.0,2,200.0,0.390955618839981,0.884208195549684,3.99415989800257
70.0,2,201.0,0.393037278819308,0.885824601372905,3.98546731232831
70.0,2,202.0,0.395112781184269,0.887428568926448,3.97689811744718
70.0,2,203.0,0.397182129210493,0.889020227606237,3.96844985367059
70.0,2,204.0,0.399245326574974,0.890599705141238,3.96012012402006
70.0,2,205.0,0.4013023773464,0.892167127622607,3.95190659227905
70.0,2,206.0,0.403353285976162,0.893722619528627,3.94380698112414
70.0,2,207.0,0.405398057289401,0.895266303749243,3.93581907032962
70.0,2,208.0,0.40743669647685,0.896798301610621,3.92794069501662
70.0,2,209.0,0.409469209083735,0.898318732898986,3.92016974399154
70.0,2,210.0,0.411495601006199,0.899827715883929,3.91250415812396
70.0,2,211.0,0.413515878478181,0.901325367341667,3.90494192878098
70.0,2,212.0,0.415530048065732,0.902811802577523,3.89748109636081
70.0,2,213.0,0.417538116658568,0.904287135394081,3.89011974877013
70.0,2,214.0,0.419540091462216,0.905751478382054,3.88285602009017
70.0,2,215.0,0.421535979986945,0.907204942403814,3.8756880891948
70.0,2,216.0,0.423525790056401,0.908647637152081,3.86861417844799
70.0,2,217.0,0.425509529770621,0.910079670901388,3.86163255244467
70.0,2,218.0,0.427487207523685,0.91150115058262,3.85474151678938
70.0,2,219.0,0.429458831988883,0.912912181802267,3.84793941692227
70.0,2,220.0,0.431424412110381,0.914312868862217,3.84122463698185
70.0,2,221.0,0.433383957097382,0.915703314778768,3.83459559869995
70.0,2,222.0,0.435337476417341,0.917083621301521,3.82805076035288
70.0,2,223.0,0.437284979789445,0.918453888932864,3.82158861571408
70.0,2,224.0,0.439226477178036,0.919814216940802,3.81520769307803
70.0,2,225.0,0.441161978786352,0.921164703387445,3.80890655429108
70.0,2,226.0,0.443091495050266,0.922505445135863,4.19493584884404
70.0,2,227.0,0.44501503663215,0.923836537873521,4.18617897295616
70.0,2,228.0,0.44693261441496,0.92515807612384,4.17749071877526
70.0,2,229.0,0.448844239496239,0.926470153271414,4.16887019112045
70.0,2,230.0,0.450749923182472,0.927772861569638,4.16031651158262
70.0,2,231.0,0.452649676983342,0.929066292161858,4.15182881793421
70.0,2,232.0,0.6068458927847,0.93035053509476,4.1434062641209
70.0,2,233.0,0.605674572180829,0.931625679335477,4.13504802007605
70.0,2,234.0,0.604515512778818,0.932891812786077,4.12675326839777
70.0,2,235.0,0.603368513837588,0.934149022298906,4.11852121031727
70.0,2,236.0,0.602233379035987,0.935397393691034,4.1103510589425
70.0,2,237.0,0.601109916351087,0.936637011759176,4.10224204220293
70.0,2,238.0,0.599997937940549,0.937867960293727,4.09419340165997
70.0,2,239.0,0.598897260028748,0.939090322092959,4.0862043924152
70.0,2,240.0,0.597807702796709,0.940304178976722,4.07827428266261
70.0,2,241.0,0.59672909027554,0.941509611800747,4.07040235345786
70.0,2,242.0,0.595661250243317,0.942706700468227,4.06258789834603
70.0,2,243.0,0.594604014125273,0.943895523945204,4.05483022314676
70.0,2,244.0,0.593557216897602,0.945076160273066,4.04712864562443
70.0,2,245.0,0.592520696992219,0.960275437862296,4.03948249524676
70.0,2,246.0,0.59149429620927,0.960899842728741,4.03189111290584
70.0,2,247.0,0.590477859597641,0.961519809571865,4.02435385063995
70.0,2,248.0,0.589471235513697,0.962135387570615,4.01687007151779
70.0,2,249.0,0.58847427525597,0.962746625145698,4.00943914902486
70.0,2,250.0,0.587486833265981,0.963353569991387,4.00206046761319
