1   ,"He, MoO3 (amorphous) --> MoO3"
,
,Unknown (Samsonov D.S.)
,125070107773-4 (2025)
,
Sputtering yields,
,
angle in degree,0
energy in eV,
1.00E-10,1.00E-10
70,1.00E-05
130,9.00E-04
170,0.0024
200,0.0038
250,0.0059
500,0.0141
1000,0.021
3500,0.032
