ppl,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
1.0,20.92506312647061,52.601044276178044,69.18298853456218,5.78152700269934,5.11735117970383,5.30847371400853,0.0,0.0,0.0,,,
2.0,12.87645375875641,43.52401039773631,58.936548395830776,12.4434639844091,10.6498076867619,10.5157202145456,0.0,0.0,0.0,,,
3.0,6.062700459058185,36.41267521027939,51.2088464282426,18.747834578315,15.9883219275674,15.538470700211,0.0,0.0,0.0,,,
4.0,-0.04411625930718088,30.20993512941338,44.59225402006915,24.6576299024004,21.1041032856853,20.3879981944564,0.0,0.0,0.0,,,
5.0,-5.647954572623426,24.57710929903661,38.63859422677001,30.2146681137439,26.0080328564255,25.0786749546136,0.0,0.0,0.0,,,
6.0,-10.862685676635746,19.354434882584126,33.142626463264634,35.4661310292497,30.718058473246,29.6240589584205,0.0,0.0,0.0,,,
7.0,-15.76231045990243,14.450189084064874,27.99084194516474,40.4530951978887,35.2522759910139,34.0362817131058,0.0,0.0,0.0,-1.0,,
8.0,-20.39912635502644,9.805067013815979,23.11256415470944,45.2096528459407,39.6271911819376,38.3260669302562,0.0,0.0,0.0,-1.0,,
9.0,-24.81198575530365,5.377593214589098,18.460095616505114,49.7637744069048,43.8573916465079,42.5028333089043,0.0,0.0,0.0,-1.0,,
10.0,-29.03083713369399,1.1371228215688518,13.999222041975983,54.1385232964203,47.9556410049219,46.5749346572813,0.0,0.0,0.0,-1.0,,
11.0,-33.07940397461515,-2.939915945052391,9.70431474949121,58.3530744469522,51.9330889788484,50.5497645140972,0.0,0.0,0.002344837569774581,-1.0,-1.0,1.0
12.0,-36.976887174488326,-6.8722161766387515,5.555486857686866,62.4235206212941,55.7994953289535,54.4339047745935,0.0,0.0,0.0047433587965971125,-1.0,-1.0,1.0
13.0,-40.73910198628318,-10.67496000648677,1.5368736612820086,66.3634953686597,59.5634344846147,58.2332400221377,0.0,0.0,0.011090163712455796,-1.0,-1.0,1.0
14.0,-44.379267084394684,-14.360716259646225,-2.364467993664313,70.184652461451,63.2324723165968,61.9530536240063,0.0,0.0,0.021637424822269526,-1.0,-1.0,1.0
15.0,-47.90856934850136,-17.94005470829589,-6.1592945626840745,73.8970364848185,66.8133153140912,65.5981083780998,0.0,0.0,0.036495042337827494,-1.0,-1.0,1.0
16.0,-51.336578535871006,-21.422003193476655,-9.856684139170525,77.5093715304973,70.3119575573412,69.1727143109504,0.0,0.0,0.05565113008596509,-1.0,-1.0,1.0
17.0,-54.67155834447331,-24.814271960755278,-13.464398843959387,81.0292881560695,73.7336914535037,72.6807858639637,0.0,0.0,0.07899404173479746,-1.0,-1.0,1.0
18.0,-57.920704090621555,-28.123636602683547,-16.989149936728126,84.463503512108,77.0833415483905,76.1258903274355,0.0,0.0007442253140319473,0.10633431642211891,-1.0,-0.981778676152781,1.0
19.0,-61.090327246224824,-31.356015468431764,-20.436796157156756,87.8179656460782,80.3652337385992,79.5112890449818,0.0,0.003182648323346038,0.13742530263988595,-1.0,-0.94096762149646,1.0
20.0,-64.18600075020615,-34.51663703882067,-23.81249504592664,91.0979701541316,83.5832837764101,82.8399726277186,0.0,0.008746078004776439,0.17198162646149623,-1.0,-0.875188140490947,1.0
21.0,-67.21269310744917,-37.610150242360554,-27.12082039794371,94.3082746400822,86.7410487777502,86.1146911856928,0.0,0.017771435285478265,0.20969503796109623,-1.0,-0.801363706983693,1.0
22.0,-70.17478499194029,-40.64071259029701,-30.36585482836609,97.4530953776852,89.8417708907406,89.3379803967227,0.0,0.030364831676256615,0.25024748000123026,-1.0,-0.729158480600611,1.00002545021236
23.0,-73.07626712415612,-43.612061446962144,-33.551263721632345,100.536301232731,92.8884144898965,92.512184082207,0.0,0.04660879239535503,0.29332144643998975,-1.0,-0.662289261602508,0.999878076361275
24.0,-75.9207166658249,-46.52757228703878,-36.680355029590444,103.56137628746,95.8836980014958,95.6394738385223,0.0002603093492735364,0.06656507424892251,0.3386078510145,-0.99946232546906,-0.60178447598451,0.998699212171711
