f,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
30.0,-746.8503116440979,-745.1064818139266,-809.7524864961384,830.746861297839,846.039225802413,920.371637108592,19.880391697824457,25.111190627675782,4.735219234875661,-0.0912025845631326,0.380787704387984,0.649492145096516
40.0,-542.3057282057019,-532.0586610279057,-572.8651434663209,608.154056338563,615.195666612117,664.431865536313,20.640706476389635,25.31852899941329,6.154575190413015,-0.0415606056442437,0.36731849956633,0.700116063009047
50.0,-419.89356063994757,-404.4281976272001,-431.0265503649937,475.10814711699,477.280901156525,511.763193675355,20.840363865499555,24.43007247897646,7.244808434600702,0.0121861942766058,0.350449296967569,0.740697000949423
60.0,-338.4855396528226,-319.5109029482425,-336.76216099790497,386.743975156029,385.783922140538,410.708277442034,20.74209742617922,22.978280228216168,7.990116926641546,0.0723137356954106,0.330453378957618,0.773763429650242
70.0,-280.48208563729844,-259.0070290933445,-269.70733331350857,323.869875174584,320.788525453952,339.129717305418,12.248793476077507,22.340033784258566,6.890113742025305,-0.113529648561526,0.285837987896697,0.781018236612516
80.0,-237.09339028350485,-213.76577344957553,-219.66984738849726,276.904347253884,272.342891457933,285.958570202224,9.40166618343167,19.489184609690096,7.275126962636255,-0.263231162813044,0.234281147077403,0.807304370416403
90.0,-203.44070791133026,-178.7022048727258,-180.98145042618216,240.531117010262,234.920975363163,245.044756487134,6.930983155048834,16.195920145470787,7.464481984986122,-0.405673051911047,0.17678927396946,0.836202952943951
100.0,-176.59893946909824,-150.7643273574459,-150.23750212492075,211.563890402329,205.208393856047,212.697630479734,4.916375080931721,12.900703461644083,7.447258454821093,-0.535024199309461,0.114329219530319,0.865781952742343
