       1.97       2.88       6.26       8.08      10.75      31.15      48.12
       1.98       2.85       6.19       8.00      10.64      30.83      47.63
       1.99       2.82       6.13       7.92      10.53      30.52      47.15
          2       2.79       6.07       7.84      10.43      30.21      46.68
       2.01       2.76       6.01       7.76      10.33      29.91      46.22
       2.02       2.74       5.95       7.69      10.23      29.62      45.77
       2.03       2.71       5.89       7.61      10.13      29.33      45.32
       2.04       2.68       5.84       7.54      10.03      29.05      44.88
       2.05       2.66       5.78       7.47       9.93      28.77      44.46
       2.06       2.63       5.73       7.40       9.84      28.50      44.04
       2.07       2.61       5.67       7.33       9.75      28.23      43.63
       2.08       2.58       5.62       7.26       9.66      27.97      43.22
       2.09       2.56       5.57       7.19       9.57      27.72      42.83
        2.1       2.54       5.52       7.13       9.48      27.46      42.44
       2.11       2.51       5.47       7.06       9.40      27.22      42.05
       2.12       2.49       5.42       7.00       9.31      26.97      41.68
       2.13       2.47       5.37       6.94       9.23      26.74      41.31
       2.14       2.45       5.32       6.88       9.15      26.50      40.95
       2.15       2.43       5.28       6.82       9.07      26.27      40.59
       2.16       2.41       5.23       6.76       8.99      26.04      40.24
       2.17       2.39       5.19       6.70       8.91      25.82      39.90
       2.18       2.37       5.14       6.64       8.84      25.60      39.56
       2.19       2.35       5.10       6.59       8.76      25.39      39.23
        2.2       2.33       5.06       6.53       8.69      25.18      38.90
       2.21       2.31       5.02       6.48       8.62      24.97      38.58
       2.22       2.29       4.97       6.43       8.55      24.76      38.26
       2.23       2.27       4.93       6.37       8.48      24.56      37.95
       2.24       2.25       4.89       6.32       8.41      24.36      37.65
       2.25       2.23       4.85       6.27       8.34      24.17      37.34
       2.26       2.22       4.82       6.22       8.28      23.98      37.05
       2.27       2.20       4.78       6.17       8.21      23.79      36.76
       2.28       2.18       4.74       6.13       8.15      23.60      36.47
       2.29       2.16       4.70       6.08       8.08      23.42      36.19
        2.3       2.15       4.67       6.03       8.02      23.24      35.91
       2.31       2.13       4.63       5.99       7.96      23.06      35.63
       2.32       2.11       4.60       5.94       7.90      22.89      35.36
       2.33       2.10       4.56       5.90       7.84      22.72      35.10
       2.34       2.08       4.53       5.85       7.78      22.55      34.84
       2.35       2.07       4.50       5.81       7.73      22.38      34.58
       2.36       2.05       4.46       5.77       7.67      22.21      34.32
       2.37       2.04       4.43       5.72       7.61      22.05      34.07
       2.38       2.02       4.40       5.68       7.56      21.89      33.83
       2.39       2.01       4.37       5.64       7.50      21.73      33.58
        2.4       1.99       4.33       5.60       7.45      21.58      33.34
       2.41       1.98       4.30       5.56       7.40      21.43      33.11
