ppl,f,ub_ar,ub_ne,ub_he,urf_ar,urf_ne,urf_he,d1h_b_ar,d1h_b_ne,d1h_b_he,s_ar,s_ne,s_he
1.0,30.0,0.061724971893792,25.125594862749345,34.15950572255102,22.938670384222,20.8954561988952,21.4826279632094,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,40.0,10.953978558963586,36.442810723333096,46.31631990638966,12.5962335673717,11.6748235876153,12.3986177453412,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,50.0,16.793911355879413,42.891579149498604,53.41524472407379,7.54690726965038,7.22268169761541,7.99423369221728,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,60.0,20.368279714950287,47.14798651435646,58.20596467186377,4.81134498205857,4.7901381404901,5.54870013086994,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,70.0,22.787588031652596,50.254187097770114,61.756048189301296,3.21529774707545,3.34143630170915,4.05845592579669,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,80.0,24.55936549798261,52.68894555576036,64.55840807642437,2.23008811849776,2.42112767494487,3.0867358688152,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,90.0,25.939517594638428,54.69452547577994,66.87069148490744,1.59421748365971,1.80771336558969,2.41969512557793,0.0,0.0,0.0,-2.0,-2.0,-2.0
1.0,100.0,27.06733997224429,56.40878489131528,68.84074281585946,1.16868023827487,1.38259358081644,1.94295705601744,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,30.0,-20.06927783174676,4.745480414916521,12.489802232331478,43.2820298594918,39.6952449216002,40.3442274439904,0.0,0.0,0.0,-1.0,-2.0,-2.0
2.0,40.0,-2.691623004322203,22.305767070767892,31.12521035696659,25.655839199833,23.3713865257731,23.9631522748644,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,50.0,6.858300654568463,32.111293202967566,41.607824986697146,16.3872172605873,15.0394645677449,15.7268790244981,0.0,0.0,0.0,-2.0,-2.0,-2.0
2.0,60.0,12.70762541900473,38.328517583102524,48.358998497536916,11.0262178027465,10.2942714117025,11.0478249845067,0.0,0.0,0.0,-2.0,-2.0,-2.0
